parti_a,parti_b,voteringar_totalt,voteringar_med_linje_for_bada,voteringar_lika,andel_lika
C,KD,634,509,309,0.6071
C,L,634,509,310,0.609
C,M,634,509,310,0.609
C,MP,634,406,179,0.4409
C,S,634,459,225,0.4902
C,SD,634,507,301,0.5937
C,V,634,428,177,0.4136
KD,L,634,634,633,0.9984
KD,M,634,634,633,0.9984
KD,MP,634,482,194,0.4025
KD,S,634,556,284,0.5108
KD,SD,634,632,624,0.9873
KD,V,634,514,204,0.3969
L,M,634,634,634,1.0
L,MP,634,482,195,0.4046
L,S,634,556,285,0.5126
L,SD,634,632,623,0.9858
L,V,634,514,205,0.3988
M,MP,634,482,195,0.4046
M,S,634,556,285,0.5126
M,SD,634,632,623,0.9858
M,V,634,514,205,0.3988
MP,S,634,444,230,0.518
MP,SD,634,481,185,0.3846
MP,V,634,424,291,0.6863
S,SD,634,554,276,0.4982
S,V,634,461,246,0.5336
SD,V,634,513,195,0.3801
